dia,franja,tipo,uso_armas,barrio
Sábado,5,Homicidio,,Nueva Pompeya
Lunes,5,Homicidio,,Belgrano
Miércoles,3,Homicidio,,Barracas
Miércoles,8,Homicidio,,Flores
Viernes,21,Homicidio,,Caballito
Sábado,17,Homicidio,,San Cristóbal
Domingo,2,Homicidio,,Chacarita
Jueves,8,Homicidio,,Villa Santa Rita
Sábado,16,Homicidio,,Villa Urquiza
Lunes,4,Homicidio,,Barracas
Lunes,20,Homicidio,,Recoleta
Martes,19,Homicidio,,Retiro
Lunes,8,Homicidio,,Mataderos
Jueves,15,Homicidio,,Barracas
Viernes,11,Homicidio,,Boca
Domingo,2,Homicidio,,Balvanera
Lunes,0,Homicidio,,Constitución
Lunes,1,Homicidio,,Barracas
Martes,20,Homicidio,,Villa Pueyrredón
Martes,23,Homicidio,,Chacarita
Lunes,16,Homicidio,,Palermo
Lunes,17,Homicidio,,Belgrano
Martes,3,Homicidio,,Constitución
Jueves,21,Homicidio,,Villa Lugano
Lunes,23,Homicidio,,Barracas
Miércoles,23,Homicidio,,Flores
Miércoles,7,Homicidio,,Retiro
Jueves,1,Homicidio,,Constitución
Jueves,1,Homicidio,,Nuñez
Lunes,5,Homicidio,,Balvanera
Miércoles,21,Homicidio,,Nuñez
Miércoles,23,Homicidio,,Constitución
Viernes,2,Homicidio,,Retiro
Sábado,1,Homicidio,,Villa Lugano
Lunes,18,Homicidio,,Balvanera
Sábado,20,Homicidio,,Barracas
Lunes,7,Homicidio,,Flores
Miércoles,19,Homicidio,,Chacarita
Viernes,17,Homicidio,,Barracas
Sábado,2,Homicidio,,Flores
Lunes,15,Homicidio,,Villa Lugano
Sábado,0,Homicidio,,Constitución
Sábado,7,Homicidio,,Villa Devoto
Sábado,5,Homicidio,,Balvanera
Lunes,5,Homicidio,,Palermo
Martes,8,Homicidio,,Retiro
Miércoles,22,Homicidio,,Retiro
Viernes,2,Homicidio,,Retiro
Domingo,18,Homicidio,,Balvanera
Martes,23,Homicidio,,Caballito
Miércoles,23,Homicidio,,Villa Santa Rita
Miércoles,16,Homicidio,,Boca
Sábado,0,Homicidio,,Flores
Lunes,20,Homicidio,,Retiro
Viernes,8,Homicidio,,Villa Lugano
Lunes,5,Homicidio,,Retiro
Jueves,13,Homicidio,,Constitución
Martes,14,Homicidio,,San Nicolás
Jueves,22,Lesiones por siniestro vial,,Palermo
Jueves,22,Lesiones por siniestro vial,,Nueva Pompeya
Miércoles,3,Lesiones por siniestro vial,,San Cristóbal
Miércoles,9,Lesiones por siniestro vial,,Parque Avellaneda
Miércoles,10,Lesiones por siniestro vial,,Floresta
Miércoles,10,Lesiones por siniestro vial,,Villa Urquiza
Miércoles,4,Lesiones por siniestro vial,,Saavedra
Miércoles,14,Lesiones por siniestro vial,,Parque Patricios
Miércoles,17,Lesiones por siniestro vial,,Palermo
Miércoles,18,Lesiones por siniestro vial,,Boca
Miércoles,23,Lesiones por siniestro vial,,San Nicolás
Miércoles,23,Lesiones por siniestro vial,,Villa Devoto
Jueves,8,Lesiones por siniestro vial,,Almagro
Jueves,7,Lesiones por siniestro vial,,Belgrano
Jueves,8,Lesiones por siniestro vial,,Balvanera
Jueves,8,Lesiones por siniestro vial,,Palermo
Jueves,7,Lesiones por siniestro vial,,San Nicolás
Jueves,7,Lesiones por siniestro vial,,Constitución
Jueves,13,Lesiones por siniestro vial,,Recoleta
Jueves,10,Lesiones por siniestro vial,,Monserrat
Jueves,13,Lesiones por siniestro vial,,Parque Avellaneda
Jueves,14,Lesiones por siniestro vial,,Villa Urquiza
Jueves,10,Lesiones por siniestro vial,,Recoleta
Jueves,15,Lesiones por siniestro vial,,Chacarita
Jueves,15,Lesiones por siniestro vial,,Villa Gral. Mitre
Jueves,16,Lesiones por siniestro vial,,Balvanera
Jueves,8,Lesiones por siniestro vial,,Caballito
Jueves,17,Lesiones por siniestro vial,,Flores
Jueves,19,Lesiones por siniestro vial,,
Jueves,17,Lesiones por siniestro vial,,Palermo
Jueves,18,Lesiones por siniestro vial,,Chacarita
Jueves,18,Lesiones por siniestro vial,,Villa Santa Rita
Jueves,19,Lesiones por siniestro vial,,Vélez Sársfield
Jueves,19,Lesiones por siniestro vial,,San Cristóbal
Jueves,14,Lesiones por siniestro vial,,Nueva Pompeya
Jueves,20,Lesiones por siniestro vial,,Boedo
Jueves,21,Lesiones por siniestro vial,,Boedo
Jueves,19,Lesiones por siniestro vial,,Saavedra
Jueves,13,Lesiones por siniestro vial,,Mataderos
Viernes,3,Lesiones por siniestro vial,,Villa Crespo
Viernes,5,Lesiones por siniestro vial,,Almagro
Viernes,11,Lesiones por siniestro vial,,Palermo
Viernes,11,Lesiones por siniestro vial,,Barracas
Viernes,12,Lesiones por siniestro vial,,Parque Patricios
Viernes,13,Lesiones por siniestro vial,,Boca
Viernes,13,Lesiones por siniestro vial,,Palermo
Viernes,16,Lesiones por siniestro vial,,Villa Pueyrredón
Viernes,17,Lesiones por siniestro vial,,Villa Lugano
Viernes,18,Lesiones por siniestro vial,,Parque Avellaneda
Viernes,15,Lesiones por siniestro vial,,Saavedra
Viernes,17,Lesiones por siniestro vial,,San Nicolás
Viernes,18,Lesiones por siniestro vial,,San Cristóbal
Viernes,17,Lesiones por siniestro vial,,Constitución
Viernes,21,Lesiones por siniestro vial,,Parque Chas
Viernes,22,Lesiones por siniestro vial,,Retiro
Viernes,20,Lesiones por siniestro vial,,San Nicolás
Jueves,9,Lesiones por siniestro vial,,Palermo
Viernes,22,Lesiones por siniestro vial,,Villa Lugano
Sábado,2,Lesiones por siniestro vial,,Floresta
Sábado,7,Lesiones por siniestro vial,,Villa Urquiza
Sábado,7,Lesiones por siniestro vial,,Villa Luro
Sábado,6,Lesiones por siniestro vial,,Flores
Sábado,8,Lesiones por siniestro vial,,San Nicolás
Sábado,10,Lesiones por siniestro vial,,Villa Crespo
Jueves,20,Lesiones por siniestro vial,,Villa Crespo
Sábado,10,Lesiones por siniestro vial,,Villa Crespo
Sábado,13,Lesiones por siniestro vial,,Caballito
Sábado,13,Lesiones por siniestro vial,,Mataderos
Sábado,13,Lesiones por siniestro vial,,Mataderos
Sábado,15,Lesiones por siniestro vial,,Boca
Sábado,15,Lesiones por siniestro vial,,Liniers
Sábado,21,Lesiones por siniestro vial,,Caballito
Sábado,21,Lesiones por siniestro vial,,Saavedra
Sábado,22,Lesiones por siniestro vial,,Palermo
Domingo,0,Lesiones por siniestro vial,,Villa Santa Rita
Sábado,22,Lesiones por siniestro vial,,Balvanera
Sábado,23,Lesiones por siniestro vial,,Villa Crespo
Domingo,7,Lesiones por siniestro vial,,San Cristóbal
Domingo,7,Lesiones por siniestro vial,,Villa Riachuelo
Sábado,13,Lesiones por siniestro vial,,Almagro
Domingo,16,Lesiones por siniestro vial,,Almagro
Domingo,17,Lesiones por siniestro vial,,Saavedra
Domingo,17,Lesiones por siniestro vial,,
Domingo,16,Lesiones por siniestro vial,,Villa Pueyrredón
Viernes,15,Lesiones por siniestro vial,,Saavedra
Domingo,20,Lesiones por siniestro vial,,Flores
Domingo,22,Lesiones por siniestro vial,,Flores
Domingo,21,Lesiones por siniestro vial,,Recoleta
Lunes,0,Lesiones por siniestro vial,,
Lunes,8,Lesiones por siniestro vial,,Flores
Lunes,8,Lesiones por siniestro vial,,Barracas
Lunes,9,Lesiones por siniestro vial,,Parque Chacabuco
Lunes,10,Lesiones por siniestro vial,,Constitución
Lunes,10,Lesiones por siniestro vial,,San Nicolás
Viernes,1,Lesiones por siniestro vial,,Recoleta
Lunes,11,Lesiones por siniestro vial,,Boca
Lunes,9,Lesiones por siniestro vial,,Villa Gral. Mitre
Lunes,12,Lesiones por siniestro vial,,Monserrat
Lunes,8,Lesiones por siniestro vial,,Balvanera
Sábado,16,Lesiones por siniestro vial,,Parque Patricios
Lunes,13,Lesiones por siniestro vial,,Constitución
Lunes,13,Lesiones por siniestro vial,,San Nicolás
Lunes,16,Lesiones por siniestro vial,,Monte Castro
Lunes,13,Lesiones por siniestro vial,,Recoleta
Lunes,18,Lesiones por siniestro vial,,Caballito
Lunes,18,Lesiones por siniestro vial,,Recoleta
Lunes,23,Lesiones por siniestro vial,,Nueva Pompeya
Lunes,22,Lesiones por siniestro vial,,Caballito
Martes,0,Lesiones por siniestro vial,,Chacarita
Martes,2,Lesiones por siniestro vial,,
Martes,8,Lesiones por siniestro vial,,Parque Chacabuco
Martes,9,Lesiones por siniestro vial,,Palermo
