dia,franja,tipo,uso_armas,barrio
Miércoles,10,Lesiones por siniestro vial,,San Nicolás
Miércoles,15,Lesiones por siniestro vial,,Almagro
Miércoles,13,Lesiones por siniestro vial,,Balvanera
Miércoles,15,Lesiones por siniestro vial,,Balvanera
Miércoles,15,Lesiones por siniestro vial,,Puerto Madero
Miércoles,15,Lesiones por siniestro vial,,Puerto Madero
Miércoles,14,Lesiones por siniestro vial,,Villa Santa Rita
Miércoles,11,Lesiones por siniestro vial,,Flores
Miércoles,16,Lesiones por siniestro vial,,Barracas
Miércoles,5,Lesiones por siniestro vial,,Villa Pueyrredón
Miércoles,17,Lesiones por siniestro vial,,Barracas
Miércoles,16,Lesiones por siniestro vial,,Villa Devoto
Miércoles,17,Lesiones por siniestro vial,,Villa Luro
Miércoles,18,Lesiones por siniestro vial,,Flores
Miércoles,18,Lesiones por siniestro vial,,Mataderos
Miércoles,19,Lesiones por siniestro vial,,Parque Chacabuco
Miércoles,18,Lesiones por siniestro vial,,Vélez Sársfield
Miércoles,19,Lesiones por siniestro vial,,Flores
Miércoles,20,Lesiones por siniestro vial,,Boca
Miércoles,19,Lesiones por siniestro vial,,Palermo
Lunes,17,Lesiones por siniestro vial,,Caballito
Miércoles,17,Lesiones por siniestro vial,,Palermo
Miércoles,21,Lesiones por siniestro vial,,Nueva Pompeya
Miércoles,23,Lesiones por siniestro vial,,Balvanera
Miércoles,21,Lesiones por siniestro vial,,Villa Crespo
Miércoles,21,Lesiones por siniestro vial,,Monserrat
Jueves,0,Lesiones por siniestro vial,,San Cristóbal
Jueves,7,Lesiones por siniestro vial,,Barracas
Jueves,8,Lesiones por siniestro vial,,Floresta
Jueves,9,Lesiones por siniestro vial,,Villa Lugano
Jueves,7,Lesiones por siniestro vial,,San Nicolás
Jueves,11,Lesiones por siniestro vial,,Boedo
Jueves,7,Lesiones por siniestro vial,,Almagro
Jueves,10,Lesiones por siniestro vial,,Flores
Jueves,9,Lesiones por siniestro vial,,Boedo
Jueves,10,Lesiones por siniestro vial,,Caballito
Jueves,7,Lesiones por siniestro vial,,Retiro
Viernes,12,Lesiones por siniestro vial,,Caballito
Jueves,13,Lesiones por siniestro vial,,Boedo
Miércoles,15,Lesiones por siniestro vial,,San Nicolás
Jueves,12,Lesiones por siniestro vial,,Balvanera
Jueves,14,Lesiones por siniestro vial,,Villa Urquiza
Jueves,13,Lesiones por siniestro vial,,Boca
Jueves,14,Lesiones por siniestro vial,,Mataderos
Jueves,13,Lesiones por siniestro vial,,Villa Lugano
Jueves,12,Lesiones por siniestro vial,,Flores
Jueves,16,Lesiones por siniestro vial,,Constitución
Jueves,8,Lesiones por siniestro vial,,Flores
Jueves,14,Lesiones por siniestro vial,,Barracas
Jueves,18,Lesiones por siniestro vial,,Flores
Jueves,16,Lesiones por siniestro vial,,Vélez Sársfield
Jueves,15,Lesiones por siniestro vial,,Nueva Pompeya
Jueves,17,Lesiones por siniestro vial,,Caballito
Jueves,17,Lesiones por siniestro vial,,Mataderos
Jueves,14,Lesiones por siniestro vial,,Barracas
Jueves,17,Lesiones por siniestro vial,,San Nicolás
Jueves,18,Lesiones por siniestro vial,,Mataderos
Jueves,17,Lesiones por siniestro vial,,Liniers
Jueves,18,Lesiones por siniestro vial,,Flores
Jueves,18,Lesiones por siniestro vial,,Villa Lugano
Jueves,17,Lesiones por siniestro vial,,Parque Avellaneda
Sábado,20,Lesiones por siniestro vial,,Belgrano
Jueves,20,Lesiones por siniestro vial,,Palermo
Miércoles,20,Lesiones por siniestro vial,,Flores
Jueves,20,Lesiones por siniestro vial,,Caballito
Jueves,7,Lesiones por siniestro vial,,Parque Avellaneda
Jueves,20,Lesiones por siniestro vial,,Retiro
Jueves,19,Lesiones por siniestro vial,,Almagro
Jueves,23,Lesiones por siniestro vial,,Balvanera
Viernes,6,Lesiones por siniestro vial,,Villa Gral. Mitre
Viernes,7,Lesiones por siniestro vial,,Villa Lugano
Viernes,8,Lesiones por siniestro vial,,Villa Gral. Mitre
Miércoles,10,Lesiones por siniestro vial,,Villa Urquiza
Viernes,7,Lesiones por siniestro vial,,Balvanera
Viernes,9,Lesiones por siniestro vial,,Villa Ortuzar
Miércoles,17,Lesiones por siniestro vial,,Monserrat
Viernes,5,Lesiones por siniestro vial,,Recoleta
Viernes,10,Lesiones por siniestro vial,,Caballito
Viernes,8,Lesiones por siniestro vial,,Parque Avellaneda
Viernes,11,Lesiones por siniestro vial,,Retiro
Viernes,12,Lesiones por siniestro vial,,Parque Patricios
Viernes,11,Lesiones por siniestro vial,,Nueva Pompeya
Viernes,8,Lesiones por siniestro vial,,Villa Crespo
Jueves,20,Lesiones por siniestro vial,,Recoleta
Viernes,12,Lesiones por siniestro vial,,Constitución
Viernes,13,Lesiones por siniestro vial,,San Nicolás
Viernes,15,Lesiones por siniestro vial,,San Nicolás
Viernes,15,Lesiones por siniestro vial,,Palermo
Viernes,13,Lesiones por siniestro vial,,Flores
Viernes,15,Lesiones por siniestro vial,,Villa Devoto
Viernes,16,Lesiones por siniestro vial,,Flores
Viernes,16,Lesiones por siniestro vial,,Versalles
Viernes,8,Lesiones por siniestro vial,,San Nicolás
Viernes,17,Lesiones por siniestro vial,,Mataderos
Viernes,16,Lesiones por siniestro vial,,Balvanera
Viernes,17,Lesiones por siniestro vial,,
Viernes,18,Lesiones por siniestro vial,,Constitución
Viernes,18,Lesiones por siniestro vial,,Constitución
Viernes,13,Lesiones por siniestro vial,,Almagro
Viernes,18,Lesiones por siniestro vial,,Liniers
Jueves,14,Lesiones por siniestro vial,,Monserrat
Viernes,18,Lesiones por siniestro vial,,Constitución
Viernes,19,Lesiones por siniestro vial,,Nueva Pompeya
Viernes,21,Lesiones por siniestro vial,,Liniers
Viernes,23,Lesiones por siniestro vial,,Villa Pueyrredón
Viernes,18,Lesiones por siniestro vial,,Nueva Pompeya
Viernes,23,Lesiones por siniestro vial,,Nuñez
Viernes,22,Lesiones por siniestro vial,,Barracas
Sábado,0,Lesiones por siniestro vial,,Villa Real
Sábado,2,Lesiones por siniestro vial,,Parque Patricios
Sábado,8,Lesiones por siniestro vial,,Villa Riachuelo
Sábado,7,Lesiones por siniestro vial,,Flores
Sábado,8,Lesiones por siniestro vial,,Puerto Madero
Sábado,11,Lesiones por siniestro vial,,Balvanera
Sábado,1,Lesiones por siniestro vial,,Saavedra
Sábado,12,Lesiones por siniestro vial,,Palermo
Sábado,12,Lesiones por siniestro vial,,Flores
Sábado,11,Lesiones por siniestro vial,,Villa Del Parque
Sábado,13,Lesiones por siniestro vial,,Barracas
Miércoles,16,Lesiones por siniestro vial,,Balvanera
Sábado,13,Lesiones por siniestro vial,,Villa Devoto
Sábado,14,Lesiones por siniestro vial,,Belgrano
Sábado,14,Lesiones por siniestro vial,,Almagro
Sábado,14,Lesiones por siniestro vial,,Saavedra
Sábado,14,Lesiones por siniestro vial,,Retiro
Sábado,17,Lesiones por siniestro vial,,Mataderos
Sábado,16,Lesiones por siniestro vial,,Liniers
Sábado,18,Lesiones por siniestro vial,,Villa Santa Rita
Sábado,13,Lesiones por siniestro vial,,Balvanera
Sábado,8,Lesiones por siniestro vial,,Villa Riachuelo
Sábado,19,Lesiones por siniestro vial,,Constitución
Sábado,21,Lesiones por siniestro vial,,Palermo
Sábado,21,Lesiones por siniestro vial,,Villa Urquiza
Sábado,14,Lesiones por siniestro vial,,Liniers
Sábado,20,Lesiones por siniestro vial,,
Domingo,1,Lesiones por siniestro vial,,Villa Crespo
Domingo,1,Lesiones por siniestro vial,,Villa Crespo
Domingo,6,Lesiones por siniestro vial,,Almagro
Domingo,6,Lesiones por siniestro vial,,Almagro
Domingo,6,Lesiones por siniestro vial,,Retiro
Domingo,9,Lesiones por siniestro vial,,Villa Soldati
Domingo,8,Lesiones por siniestro vial,,Retiro
Domingo,13,Lesiones por siniestro vial,,Belgrano
Domingo,12,Lesiones por siniestro vial,,Villa Pueyrredón
Domingo,15,Lesiones por siniestro vial,,Monserrat
Viernes,20,Lesiones por siniestro vial,,Palermo
Domingo,18,Lesiones por siniestro vial,,Balvanera
Domingo,18,Lesiones por siniestro vial,,Palermo
Domingo,18,Lesiones por siniestro vial,,Saavedra
Domingo,20,Lesiones por siniestro vial,,Colegiales
Jueves,20,Lesiones por siniestro vial,,Palermo
Domingo,20,Lesiones por siniestro vial,,Versalles
Domingo,21,Lesiones por siniestro vial,,Recoleta
Domingo,3,Lesiones por siniestro vial,,Palermo
Domingo,22,Lesiones por siniestro vial,,Retiro
Domingo,23,Lesiones por siniestro vial,,Villa Crespo
Domingo,22,Lesiones por siniestro vial,,Palermo
Lunes,4,Lesiones por siniestro vial,,Constitución
Lunes,6,Lesiones por siniestro vial,,Parque Patricios
Lunes,9,Lesiones por siniestro vial,,Parque Patricios
Lunes,10,Lesiones por siniestro vial,,Villa Del Parque
Lunes,8,Lesiones por siniestro vial,,Villa Soldati
Lunes,9,Lesiones por siniestro vial,,Boedo
Lunes,10,Lesiones por siniestro vial,,Belgrano
Lunes,11,Lesiones por siniestro vial,,Mataderos
Martes,12,Lesiones por siniestro vial,,Palermo
Lunes,12,Lesiones por siniestro vial,,Monserrat
Lunes,12,Lesiones por siniestro vial,,Almagro
Lunes,13,Lesiones por siniestro vial,,
Lunes,13,Lesiones por siniestro vial,,Caballito
Lunes,14,Lesiones por siniestro vial,,Palermo
Lunes,15,Lesiones por siniestro vial,,Palermo
Lunes,14,Lesiones por siniestro vial,,Recoleta
Lunes,10,Lesiones por siniestro vial,,Balvanera
Lunes,15,Lesiones por siniestro vial,,Flores
Lunes,17,Lesiones por siniestro vial,,Villa Urquiza
Lunes,16,Lesiones por siniestro vial,,Villa Gral. Mitre
Lunes,15,Lesiones por siniestro vial,,Belgrano
Lunes,16,Lesiones por siniestro vial,,Villa Ortuzar
Lunes,15,Lesiones por siniestro vial,,San Nicolás
Lunes,19,Lesiones por siniestro vial,,Parque Chacabuco
Lunes,17,Lesiones por siniestro vial,,
Lunes,18,Lesiones por siniestro vial,,Monserrat
Lunes,19,Lesiones por siniestro vial,,Nuñez
Lunes,18,Lesiones por siniestro vial,,Monserrat
Lunes,22,Lesiones por siniestro vial,,Monte Castro
Lunes,23,Lesiones por siniestro vial,,Paternal
Lunes,23,Lesiones por siniestro vial,,Nuñez
Lunes,23,Lesiones por siniestro vial,,Nuñez
Lunes,19,Lesiones por siniestro vial,,Puerto Madero
Martes,8,Lesiones por siniestro vial,,Parque Patricios
Martes,9,Lesiones por siniestro vial,,Barracas
Martes,9,Lesiones por siniestro vial,,Villa Lugano
Martes,11,Lesiones por siniestro vial,,Monte Castro
Martes,11,Lesiones por siniestro vial,,Villa Gral. Mitre
Martes,13,Lesiones por siniestro vial,,Colegiales
Martes,12,Lesiones por siniestro vial,,Recoleta
Martes,11,Lesiones por siniestro vial,,Chacarita
Martes,13,Lesiones por siniestro vial,,Villa Crespo
Martes,15,Lesiones por siniestro vial,,Vélez Sársfield
Martes,13,Lesiones por siniestro vial,,Villa Devoto
Martes,12,Lesiones por siniestro vial,,Boedo
Sábado,18,Lesiones por siniestro vial,,Puerto Madero
Martes,16,Lesiones por siniestro vial,,Villa Devoto
Martes,17,Lesiones por siniestro vial,,Monserrat
Martes,16,Lesiones por siniestro vial,,Villa Devoto
Lunes,20,Lesiones por siniestro vial,,Monserrat
Martes,18,Lesiones por siniestro vial,,Villa Urquiza
Martes,18,Lesiones por siniestro vial,,Barracas
Martes,16,Lesiones por siniestro vial,,Flores
Martes,18,Lesiones por siniestro vial,,Monserrat
Martes,20,Lesiones por siniestro vial,,Palermo
Martes,20,Lesiones por siniestro vial,,Balvanera
Miércoles,0,Lesiones por siniestro vial,,Vélez Sársfield
Martes,23,Lesiones por siniestro vial,,Chacarita
Miércoles,0,Lesiones por siniestro vial,,Villa Urquiza
Miércoles,6,Lesiones por siniestro vial,,Villa Urquiza
Miércoles,8,Lesiones por siniestro vial,,Barracas
Miércoles,9,Lesiones por siniestro vial,,Flores
Miércoles,9,Lesiones por siniestro vial,,
Miércoles,11,Lesiones por siniestro vial,,Palermo
Miércoles,10,Lesiones por siniestro vial,,Boedo
Miércoles,12,Lesiones por siniestro vial,,Liniers
Miércoles,9,Lesiones por siniestro vial,,Palermo
Jueves,13,Lesiones por siniestro vial,,Flores
Miércoles,12,Lesiones por siniestro vial,,San Nicolás
Jueves,13,Lesiones por siniestro vial,,Flores
Miércoles,16,Lesiones por siniestro vial,,Barracas
Miércoles,15,Lesiones por siniestro vial,,Villa Riachuelo
Miércoles,0,Lesiones por siniestro vial,,Nueva Pompeya
Lunes,13,Lesiones por siniestro vial,,Parque Chacabuco
Lunes,13,Lesiones por siniestro vial,,Parque Chacabuco
Lunes,13,Lesiones por siniestro vial,,Parque Chacabuco
Miércoles,18,Lesiones por siniestro vial,,Retiro
Lunes,13,Lesiones por siniestro vial,,Parque Chacabuco
Miércoles,19,Lesiones por siniestro vial,,Villa Lugano
Miércoles,20,Lesiones por siniestro vial,,Villa Lugano
Sábado,20,Lesiones por siniestro vial,,Chacarita
Miércoles,23,Lesiones por siniestro vial,,Belgrano
Miércoles,23,Lesiones por siniestro vial,,Belgrano
Jueves,7,Lesiones por siniestro vial,,Monserrat
Jueves,7,Lesiones por siniestro vial,,Floresta
Jueves,8,Lesiones por siniestro vial,,San Cristóbal
Jueves,0,Lesiones por siniestro vial,,Nueva Pompeya
Jueves,9,Lesiones por siniestro vial,,Flores
Jueves,11,Lesiones por siniestro vial,,Belgrano
Jueves,11,Lesiones por siniestro vial,,Mataderos
Jueves,12,Lesiones por siniestro vial,,Saavedra
Jueves,12,Lesiones por siniestro vial,,Nuñez
Jueves,12,Lesiones por siniestro vial,,Villa Santa Rita
Jueves,12,Lesiones por siniestro vial,,Recoleta
Jueves,13,Lesiones por siniestro vial,,Monte Castro
Jueves,13,Lesiones por siniestro vial,,Villa Del Parque
Jueves,15,Lesiones por siniestro vial,,Paternal
Jueves,13,Lesiones por siniestro vial,,Balvanera
Jueves,15,Lesiones por siniestro vial,,Recoleta
Jueves,17,Lesiones por siniestro vial,,Parque Chacabuco
Jueves,17,Lesiones por siniestro vial,,Parque Chacabuco
Jueves,14,Lesiones por siniestro vial,,Nueva Pompeya
Jueves,17,Lesiones por siniestro vial,,Parque Chacabuco
Jueves,16,Lesiones por siniestro vial,,Saavedra
Jueves,17,Lesiones por siniestro vial,,Villa Ortuzar
Jueves,15,Lesiones por siniestro vial,,Caballito
Jueves,17,Lesiones por siniestro vial,,Boedo
Jueves,16,Lesiones por siniestro vial,,Almagro
Jueves,16,Lesiones por siniestro vial,,
Jueves,16,Lesiones por siniestro vial,,Recoleta
Jueves,18,Lesiones por siniestro vial,,Retiro
Jueves,14,Lesiones por siniestro vial,,Constitución
Domingo,17,Lesiones por siniestro vial,,Paternal
Jueves,14,Lesiones por siniestro vial,,Constitución
Jueves,18,Lesiones por siniestro vial,,Villa Santa Rita
Jueves,20,Lesiones por siniestro vial,,Almagro
Viernes,0,Lesiones por siniestro vial,,Mataderos
Jueves,21,Lesiones por siniestro vial,,Recoleta
Viernes,0,Lesiones por siniestro vial,,Parque Chacabuco
Viernes,1,Lesiones por siniestro vial,,Boca
Viernes,1,Lesiones por siniestro vial,,Palermo
Viernes,8,Lesiones por siniestro vial,,Villa Devoto
Viernes,9,Lesiones por siniestro vial,,Monserrat
Viernes,11,Lesiones por siniestro vial,,Belgrano
Viernes,9,Lesiones por siniestro vial,,Villa Del Parque
Viernes,12,Lesiones por siniestro vial,,Constitución
Viernes,10,Lesiones por siniestro vial,,San Nicolás
Viernes,12,Lesiones por siniestro vial,,Barracas
Viernes,13,Lesiones por siniestro vial,,Monserrat
Jueves,19,Lesiones por siniestro vial,,Palermo
Viernes,14,Lesiones por siniestro vial,,Floresta
Jueves,17,Lesiones por siniestro vial,,Palermo
Viernes,12,Lesiones por siniestro vial,,Villa Santa Rita
Viernes,13,Lesiones por siniestro vial,,Balvanera
Viernes,16,Lesiones por siniestro vial,,Palermo
Viernes,14,Lesiones por siniestro vial,,Caballito
Viernes,14,Lesiones por siniestro vial,,
Miércoles,18,Lesiones por siniestro vial,,Retiro
Viernes,18,Lesiones por siniestro vial,,Mataderos
Jueves,14,Lesiones por siniestro vial,,Parque Patricios
Viernes,17,Lesiones por siniestro vial,,Balvanera
Lunes,12,Lesiones por siniestro vial,,Liniers
Viernes,13,Lesiones por siniestro vial,,Villa Lugano
Viernes,20,Lesiones por siniestro vial,,
Viernes,20,Lesiones por siniestro vial,,Villa Lugano
Viernes,23,Lesiones por siniestro vial,,Flores
Sábado,0,Lesiones por siniestro vial,,Retiro
Sábado,7,Lesiones por siniestro vial,,Caballito
Sábado,6,Lesiones por siniestro vial,,Villa Luro
Sábado,9,Lesiones por siniestro vial,,Mataderos
Viernes,14,Lesiones por siniestro vial,,Barracas
Sábado,13,Lesiones por siniestro vial,,Villa Gral. Mitre
Sábado,14,Lesiones por siniestro vial,,San Nicolás
Sábado,14,Lesiones por siniestro vial,,Parque Chas
Sábado,15,Lesiones por siniestro vial,,Recoleta
Sábado,16,Lesiones por siniestro vial,,Parque Patricios
Sábado,18,Lesiones por siniestro vial,,Boedo
Sábado,18,Lesiones por siniestro vial,,Floresta
Sábado,18,Lesiones por siniestro vial,,Caballito
Sábado,19,Lesiones por siniestro vial,,Liniers
Sábado,20,Lesiones por siniestro vial,,Belgrano
Sábado,20,Lesiones por siniestro vial,,Villa Crespo
Sábado,22,Lesiones por siniestro vial,,San Nicolás
Sábado,23,Lesiones por siniestro vial,,Palermo
Sábado,22,Lesiones por siniestro vial,,Villa Urquiza
Domingo,0,Lesiones por siniestro vial,,Paternal
Domingo,1,Lesiones por siniestro vial,,Palermo
Domingo,1,Lesiones por siniestro vial,,Balvanera
Domingo,6,Lesiones por siniestro vial,,Boca
Sábado,13,Lesiones por siniestro vial,,Monserrat
Domingo,5,Lesiones por siniestro vial,,Flores
Viernes,16,Lesiones por siniestro vial,,Barracas
Domingo,9,Lesiones por siniestro vial,,San Nicolás
Domingo,11,Lesiones por siniestro vial,,
Domingo,15,Lesiones por siniestro vial,,Liniers
Domingo,17,Lesiones por siniestro vial,,Villa Soldati
Sábado,20,Lesiones por siniestro vial,,Villa Gral. Mitre
Domingo,19,Lesiones por siniestro vial,,Villa Pueyrredón
Domingo,21,Lesiones por siniestro vial,,Recoleta
Domingo,21,Lesiones por siniestro vial,,Recoleta
Domingo,21,Lesiones por siniestro vial,,Villa Crespo
Lunes,1,Lesiones por siniestro vial,,Parque Chacabuco
Domingo,22,Lesiones por siniestro vial,,San Cristóbal
Miércoles,16,Lesiones por siniestro vial,,Parque Avellaneda
Miércoles,19,Lesiones por siniestro vial,,Parque Chacabuco
Lunes,11,Lesiones por siniestro vial,,Flores
Lunes,11,Lesiones por siniestro vial,,Nueva Pompeya
Lunes,13,Lesiones por siniestro vial,,Caballito
Lunes,12,Lesiones por siniestro vial,,Monserrat
Lunes,9,Lesiones por siniestro vial,,Villa Crespo
Lunes,7,Lesiones por siniestro vial,,Versalles
Miércoles,13,Lesiones por siniestro vial,,Monte Castro
Lunes,14,Lesiones por siniestro vial,,Parque Chacabuco
Lunes,14,Lesiones por siniestro vial,,Villa Real
Lunes,15,Lesiones por siniestro vial,,Flores
Lunes,15,Lesiones por siniestro vial,,Boedo
Lunes,17,Lesiones por siniestro vial,,
Lunes,14,Lesiones por siniestro vial,,Palermo
Lunes,16,Lesiones por siniestro vial,,Recoleta
Lunes,16,Lesiones por siniestro vial,,Balvanera
Lunes,18,Lesiones por siniestro vial,,Constitución
Lunes,18,Lesiones por siniestro vial,,Liniers
Lunes,17,Lesiones por siniestro vial,,Villa Lugano
Lunes,17,Lesiones por siniestro vial,,Monserrat
Lunes,21,Lesiones por siniestro vial,,San Nicolás
Lunes,23,Lesiones por siniestro vial,,Villa Santa Rita
Martes,0,Lesiones por siniestro vial,,Constitución
Martes,3,Lesiones por siniestro vial,,Floresta
Martes,4,Lesiones por siniestro vial,,Mataderos
Martes,6,Lesiones por siniestro vial,,Constitución
Lunes,6,Lesiones por siniestro vial,,Villa Soldati
Lunes,15,Lesiones por siniestro vial,,Vélez Sársfield
Martes,10,Lesiones por siniestro vial,,Villa Urquiza
Martes,12,Lesiones por siniestro vial,,Villa Crespo
Lunes,13,Lesiones por siniestro vial,,San Nicolás
Martes,17,Lesiones por siniestro vial,,Villa Pueyrredón
Martes,11,Lesiones por siniestro vial,,Constitución
Martes,13,Lesiones por siniestro vial,,Nueva Pompeya
Martes,6,Lesiones por siniestro vial,,Villa Lugano
Martes,12,Lesiones por siniestro vial,,Palermo
Martes,14,Lesiones por siniestro vial,,Saavedra
Lunes,11,Lesiones por siniestro vial,,Almagro
Martes,15,Lesiones por siniestro vial,,Parque Avellaneda
Miércoles,19,Lesiones por siniestro vial,,Mataderos
Lunes,15,Lesiones por siniestro vial,,Parque Chacabuco
Martes,14,Lesiones por siniestro vial,,Balvanera
Martes,16,Lesiones por siniestro vial,,Nueva Pompeya
Martes,19,Lesiones por siniestro vial,,Palermo
Martes,17,Lesiones por siniestro vial,,Villa Urquiza
Martes,18,Lesiones por siniestro vial,,Belgrano
Martes,17,Lesiones por siniestro vial,,Belgrano
Martes,20,Lesiones por siniestro vial,,San Nicolás
Lunes,17,Lesiones por siniestro vial,,Parque Patricios
Miércoles,8,Lesiones por siniestro vial,,Parque Avellaneda
Miércoles,10,Lesiones por siniestro vial,,Boedo
Miércoles,9,Lesiones por siniestro vial,,Mataderos
Miércoles,10,Lesiones por siniestro vial,,Recoleta
Domingo,12,Lesiones por siniestro vial,,San Cristóbal
Miércoles,9,Lesiones por siniestro vial,,Villa Lugano
Domingo,12,Lesiones por siniestro vial,,San Cristóbal
Domingo,12,Lesiones por siniestro vial,,San Cristóbal
Domingo,12,Lesiones por siniestro vial,,San Cristóbal
Miércoles,10,Lesiones por siniestro vial,,Balvanera
Miércoles,9,Lesiones por siniestro vial,,Villa Riachuelo
Miércoles,12,Lesiones por siniestro vial,,Caballito
Miércoles,15,Lesiones por siniestro vial,,Mataderos
Miércoles,16,Lesiones por siniestro vial,,Almagro
Miércoles,16,Lesiones por siniestro vial,,Constitución
Miércoles,16,Lesiones por siniestro vial,,Nueva Pompeya
Miércoles,17,Lesiones por siniestro vial,,San Nicolás
Miércoles,18,Lesiones por siniestro vial,,Flores
Miércoles,14,Lesiones por siniestro vial,,Balvanera
Miércoles,21,Lesiones por siniestro vial,,Balvanera
Jueves,1,Lesiones por siniestro vial,,Monserrat
Jueves,9,Lesiones por siniestro vial,,Villa Devoto
Jueves,6,Lesiones por siniestro vial,,Boca
Jueves,9,Lesiones por siniestro vial,,Parque Patricios
Miércoles,12,Lesiones por siniestro vial,,Flores
Jueves,10,Lesiones por siniestro vial,,Parque Avellaneda
Jueves,12,Lesiones por siniestro vial,,Monserrat
Jueves,0,Lesiones por siniestro vial,,Balvanera
Jueves,9,Lesiones por siniestro vial,,San Telmo
Jueves,14,Lesiones por siniestro vial,,Constitución
Jueves,17,Lesiones por siniestro vial,,Villa Gral. Mitre
Jueves,16,Lesiones por siniestro vial,,Retiro
Jueves,17,Lesiones por siniestro vial,,
Jueves,23,Lesiones por siniestro vial,,Almagro
Viernes,7,Lesiones por siniestro vial,,Mataderos
Viernes,13,Lesiones por siniestro vial,,Almagro
Viernes,18,Lesiones por siniestro vial,,Nuñez
Sábado,14,Lesiones por siniestro vial,,Balvanera
Miércoles,15,Lesiones por siniestro vial,,Mataderos
Domingo,2,Lesiones por siniestro vial,,Constitución
Domingo,16,Lesiones por siniestro vial,,Flores
Domingo,18,Lesiones por siniestro vial,,Monserrat
Lunes,9,Lesiones por siniestro vial,,Caballito
Lunes,10,Lesiones por siniestro vial,,Caballito
Lunes,21,Lesiones por siniestro vial,,Belgrano
Lunes,23,Lesiones por siniestro vial,,San Nicolás
Martes,5,Lesiones por siniestro vial,,Villa Devoto
Miércoles,8,Lesiones por siniestro vial,,Recoleta
Miércoles,13,Lesiones por siniestro vial,,Retiro
Miércoles,16,Lesiones por siniestro vial,,Constitución
Miércoles,19,Lesiones por siniestro vial,,San Nicolás
Miércoles,22,Lesiones por siniestro vial,,Almagro
Jueves,9,Lesiones por siniestro vial,,
Jueves,17,Lesiones por siniestro vial,,Constitución
Jueves,21,Lesiones por siniestro vial,,Mataderos
Viernes,5,Lesiones por siniestro vial,,Nueva Pompeya
Viernes,12,Lesiones por siniestro vial,,Belgrano
Sábado,14,Lesiones por siniestro vial,,Floresta
Sábado,13,Lesiones por siniestro vial,,Palermo
Domingo,14,Lesiones por siniestro vial,,Parque Patricios
Lunes,9,Lesiones por siniestro vial,,Villa Devoto
Lunes,10,Lesiones por siniestro vial,,Barracas
Lunes,12,Lesiones por siniestro vial,,Recoleta
Lunes,16,Lesiones por siniestro vial,,Balvanera
Lunes,17,Lesiones por siniestro vial,,Parque Chacabuco
Lunes,19,Lesiones por siniestro vial,,Retiro
Lunes,20,Lesiones por siniestro vial,,Villa Santa Rita
Miércoles,16,Lesiones por siniestro vial,,Villa Devoto
Miércoles,22,Lesiones por siniestro vial,,Nuñez
Martes,20,Lesiones por siniestro vial,,Vélez Sársfield
Martes,22,Lesiones por siniestro vial,,Constitución
Miércoles,7,Lesiones por siniestro vial,,Villa Pueyrredón
Miércoles,11,Lesiones por siniestro vial,,Villa Luro
Miércoles,17,Lesiones por siniestro vial,,Flores
Miércoles,22,Lesiones por siniestro vial,,Mataderos
Jueves,9,Lesiones por siniestro vial,,San Nicolás
Jueves,10,Lesiones por siniestro vial,,Monte Castro
Jueves,12,Lesiones por siniestro vial,,Villa Luro
Jueves,15,Lesiones por siniestro vial,,Mataderos
Jueves,19,Lesiones por siniestro vial,,Villa Urquiza
Viernes,8,Lesiones por siniestro vial,,Barracas
Viernes,11,Lesiones por siniestro vial,,Barracas
Viernes,14,Lesiones por siniestro vial,,Flores
Viernes,19,Lesiones por siniestro vial,,Villa Crespo
Viernes,19,Lesiones por siniestro vial,,Villa Crespo
Viernes,15,Lesiones por siniestro vial,,Flores
Sábado,8,Lesiones por siniestro vial,,Liniers
Sábado,14,Lesiones por siniestro vial,,Nueva Pompeya
Sábado,19,Lesiones por siniestro vial,,Villa Lugano
Sábado,23,Lesiones por siniestro vial,,Belgrano
Domingo,9,Lesiones por siniestro vial,,Villa Devoto
Domingo,9,Lesiones por siniestro vial,,
Domingo,11,Lesiones por siniestro vial,,Parque Chacabuco
Domingo,21,Lesiones por siniestro vial,,Villa Lugano
Lunes,9,Lesiones por siniestro vial,,
Lunes,14,Lesiones por siniestro vial,,Villa Gral. Mitre
Lunes,14,Lesiones por siniestro vial,,Villa Gral. Mitre
Lunes,13,Lesiones por siniestro vial,,Liniers
Lunes,15,Lesiones por siniestro vial,,Boedo
Lunes,12,Lesiones por siniestro vial,,Palermo
Lunes,14,Lesiones por siniestro vial,,Constitución
Lunes,18,Lesiones por siniestro vial,,Flores
Lunes,8,Lesiones por siniestro vial,,Nueva Pompeya
Martes,12,Lesiones por siniestro vial,,Parque Avellaneda
Martes,12,Lesiones por siniestro vial,,Monserrat
Martes,12,Lesiones por siniestro vial,,Villa Lugano
Martes,13,Lesiones por siniestro vial,,Boedo
Martes,13,Lesiones por siniestro vial,,Palermo
Martes,19,Lesiones por siniestro vial,,Villa Crespo
Miércoles,9,Lesiones por siniestro vial,,
Miércoles,13,Lesiones por siniestro vial,,Almagro
Miércoles,12,Lesiones por siniestro vial,,Belgrano
Miércoles,11,Lesiones por siniestro vial,,Balvanera
Miércoles,14,Lesiones por siniestro vial,,Flores
Miércoles,18,Lesiones por siniestro vial,,Belgrano
Miércoles,23,Lesiones por siniestro vial,,Almagro
Miércoles,22,Lesiones por siniestro vial,,San Nicolás
